Target,FeatureSet,Model,n_feat,R2_5fold,RMSE_5fold,LOO_R2,LOO_RMSE,LOBO_R2,LOBO_RMSE,BIC,HPO
YS,S3,CatBoost,11,0.6078762911614037,51.435777318687734,0.5644876783436439,53.52878214369187,0.5459627474325739,54.65537555623301,,optuna-nested-50
YS,S3,DecisionTree,11,0.4296860245083792,59.35957700977514,0.458888895,59.66647245312898,0.4562220488821117,59.813323757216374,,optuna-nested-50
YS,S3,Dummy,11,-0.051321092912747,81.78746833685419,-0.0218572778827974,81.99403529558782,-0.1218096930677463,85.91059629591047,,none
YS,S3,ElasticNet,11,0.377058762356275,67.28490006292043,0.0867003078784433,77.51643566886375,0.2684575280772834,69.37562554000316,863.6,optuna-nested-50
YS,S3,ExtraTrees,11,0.6174999344474768,51.04250657462412,0.5758617730033244,52.825163219404715,0.5552303549204014,54.09469906504974,,optuna-nested-50
YS,S3,GPR,11,0.5779406106027771,54.10038963483195,0.533708354,55.38803484508184,0.5333786481811963,55.40761328414943,,optuna-nested-50
YS,S3,GradientBoosting,11,0.5619377619237593,53.9554210236849,0.5216100267788777,56.101978003751135,0.4858874896021785,58.15890556492619,,optuna-nested-50
YS,S3,KernelRidge,11,0.6455659983469844,49.30646915122395,0.6078761433166529,50.79240442089878,0.5636221960410941,53.58194392287515,,optuna-nested-50
YS,S3,Lasso,11,0.0594484855055004,78.34963451115823,-0.0218572778827974,81.99403529558782,-0.1218096930677463,85.91059629591047,874.0,optuna-nested-50
YS,S3,LightGBM,11,0.5115354775171677,55.55315358157818,0.565760586138939,53.45049840621535,0.5252036637722992,55.890863427240085,,optuna-nested-50
YS,S3,LinearRegression,11,0.6493410854615503,48.87711775811009,0.621589942,49.89631527477756,0.4917469486689944,57.8265305702056,781.6,none
YS,S3,MLP,11,0.4833382459345755,58.20459308365597,0.5088262718543268,56.84662740031783,0.4762639259841452,58.70071396289306,,none
YS,S3,NNR,11,0.6260371501028565,50.926179258481056,0.563248824,53.6048618317406,0.5297145812865368,55.62472745832303,,optuna-nested-50
YS,S3,PCA_OLS,11,0.4382797382665283,59.583719670743875,0.480049842546996,58.4881650357825,0.361926684727568,64.79215584180966,788.5,none
YS,S3,RandomForest,11,0.5623635040037293,53.688384408966314,0.547288962,54.57549468396966,0.5108791742421379,56.72770535102077,,optuna-nested-50
YS,S3,Ridge,11,0.6529458777511136,48.71892310845519,0.6006574857239874,51.257794227056564,0.5619780326891023,53.68279075941857,786.6,optuna-nested-50
YS,S3,SVR,11,0.3642368363774236,67.67906244461652,0.460344491,59.58616660769511,0.2676470652758652,69.4140449083638,,optuna-nested-50
YS,S3,Stacking,11,0.6163737181590754,49.96477089342827,0.5924668741172423,51.78078107330578,0.5873728680179466,52.10339590968791,,none
YS,S3,XGBoost,11,0.5711177687247676,52.94228513888228,0.532045264,55.48672123130002,0.4567890022617552,59.782134362947865,,optuna-nested-50
